Number,Beverage Name,Ingredients,Additives,Category,Amount for Diet (mL),Amount for Bulking (mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
916,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cocoa Powder,Bulking,184mL,282mL,178,10,33,0
917,Pomegranate Juice,Water 200mL,"Basil, Lemon Zest",Bulking,180mL,331mL,226,11,5,7
918,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Honey, Cinnamon",Bulking,199mL,279mL,193,13,8,8
919,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Mint",Diet,151mL,341mL,290,18,30,2
920,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Chia Seeds",Diet,102mL,355mL,238,18,7,1
921,Beetroot,Water 200mL,Maple Syrup,Diet,101mL,218mL,226,9,35,7
922,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Ginger, Honey",Diet,173mL,233mL,209,11,7,7
923,Green Tea,"Green Tea Leaves 5g, Water 200mL","Vanilla Extract, Cinnamon",Diet,153mL,392mL,190,0,16,6
924,Coconut Water,Water 200mL,Peppermint,Diet,166mL,241mL,282,17,3,3
925,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,147mL,281mL,265,19,30,2
926,Kombucha,Water 200mL,Maca Powder,Bulking,191mL,357mL,114,2,35,1
927,Pomegranate Juice,Water 200mL,Rose Petals,Diet,148mL,309mL,132,3,8,8
928,Milkshake,"Ice Cream 50g, Milk 150mL",Ginger,Bulking,115mL,346mL,189,18,31,1
929,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Mint",Bulking,182mL,345mL,64,4,34,7
930,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Chia Seeds",Bulking,107mL,374mL,222,5,14,3
931,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Vanilla Extract,Bulking,124mL,346mL,275,7,34,5
932,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Chia Seeds, Cinnamon",Bulking,127mL,222mL,50,19,34,5
933,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Vanilla Extract",Diet,144mL,234mL,267,18,23,3
934,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cocoa Powder,Diet,188mL,235mL,192,13,38,7
935,Lemon Water,"Lemon Juice 20mL, Water 180mL",Ginger,Diet,181mL,265mL,268,16,30,3
936,Protein Shake,"Whey Protein 30g, Milk 200mL","Cocoa Powder, Honey",Bulking,123mL,259mL,241,18,8,9
937,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Cinnamon",Bulking,169mL,203mL,193,3,21,8
938,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Vanilla Extract, Mint",Diet,103mL,267mL,199,5,1,4
939,Elderberry,Water 200mL,Lemon Zest,Diet,110mL,336mL,158,6,38,6
940,Milkshake,"Ice Cream 50g, Milk 150mL",Mint,Bulking,115mL,334mL,116,16,14,6
941,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Protein Powder,Diet,152mL,337mL,112,1,13,1
942,Black Coffee,"Coffee Beans 10g, Water 200mL","Ginger, Honey",Diet,111mL,237mL,201,10,23,7
943,Aloe Vera,Water 200mL,"Lavender, Rose Petals",Bulking,137mL,381mL,196,7,11,6
944,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Cinnamon,Bulking,177mL,336mL,229,13,6,7
945,Matcha,Water 200mL,Rose Petals,Bulking,162mL,279mL,74,10,33,4
946,Protein Shake,"Whey Protein 30g, Milk 200mL",Chia Seeds,Bulking,180mL,349mL,245,5,27,4
947,Green Tea,"Green Tea Leaves 5g, Water 200mL",Vanilla Extract,Diet,163mL,210mL,271,2,1,2
948,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Ginger, Honey",Diet,158mL,328mL,120,7,30,4
949,Matcha,Water 200mL,"Lemon Zest, Rose Petals",Diet,169mL,317mL,139,11,18,4
950,Protein Shake,"Whey Protein 30g, Milk 200mL",Cinnamon,Bulking,172mL,215mL,232,2,10,5
951,Milkshake,"Ice Cream 50g, Milk 150mL","Vanilla Extract, Protein Powder",Bulking,129mL,280mL,116,15,19,9
952,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Ginger, Honey",Bulking,189mL,306mL,281,19,23,7
953,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Honey",Bulking,113mL,394mL,276,0,13,3
954,Milkshake,"Ice Cream 50g, Milk 150mL",Cinnamon,Bulking,198mL,316mL,128,13,0,0
955,Kombucha,Water 200mL,Basil,Diet,136mL,380mL,236,3,25,7
956,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Protein Powder, Mint",Bulking,148mL,240mL,58,10,31,7
957,Green Tea,"Green Tea Leaves 5g, Water 200mL",Chia Seeds,Diet,182mL,303mL,257,7,23,8
958,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Chia Seeds,Diet,116mL,273mL,108,10,4,1
959,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Honey,Diet,179mL,391mL,211,7,0,0
960,Beetroot,Water 200mL,Sea Salt,Bulking,161mL,277mL,178,17,32,5
961,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Mint,Bulking,183mL,303mL,130,5,1,8
962,Lemon Water,"Lemon Juice 20mL, Water 180mL",Honey,Diet,195mL,256mL,191,3,1,9
963,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Cocoa Powder, Protein Powder",Bulking,112mL,277mL,66,11,28,0
964,Aloe Vera,Water 200mL,"Sea Salt, Maple Syrup",Bulking,177mL,205mL,210,6,28,5
965,Elderberry,Water 200mL,Lavender,Diet,139mL,368mL,111,0,24,1
966,Elderberry,Water 200mL,"Lemon Zest, Sea Salt",Diet,194mL,302mL,94,3,22,6
967,Milkshake,"Ice Cream 50g, Milk 150mL","Honey, Ginger",Bulking,100mL,340mL,77,18,23,3
968,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Vanilla Extract,Bulking,163mL,312mL,272,6,3,5
969,Matcha,Water 200mL,Maple Syrup,Bulking,190mL,221mL,288,10,4,0
970,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Protein Powder",Bulking,118mL,394mL,198,6,8,2
971,Milkshake,"Ice Cream 50g, Milk 150mL","Chia Seeds, Honey",Bulking,138mL,371mL,260,4,19,0
972,Elderberry,Water 200mL,Lemon Zest,Bulking,152mL,355mL,52,10,6,5
973,Elderberry,Water 200mL,"Peppermint, Basil",Bulking,156mL,334mL,200,11,1,4
974,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Ginger,Bulking,166mL,270mL,156,5,16,5
975,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cinnamon, Protein Powder",Diet,102mL,340mL,232,2,12,2
976,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Chia Seeds,Diet,154mL,220mL,96,2,4,1
977,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,127mL,218mL,99,11,21,7
978,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cinnamon,Diet,191mL,267mL,116,3,8,6
979,Elderberry,Water 200mL,Peppermint,Bulking,184mL,208mL,184,10,23,0
980,Kombucha,Water 200mL,Lemon Zest,Bulking,135mL,374mL,87,11,16,2
981,Turmeric,Water 200mL,"Peppermint, Rose Petals",Diet,107mL,313mL,74,12,27,9
982,Matcha,Water 200mL,"Lemon Zest, Maple Syrup",Diet,148mL,348mL,276,18,1,5
983,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Chia Seeds,Diet,151mL,248mL,117,9,18,7
984,Coconut Water,Water 200mL,"Basil, Maca Powder",Bulking,112mL,203mL,258,1,9,5
985,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cinnamon,Diet,109mL,227mL,76,9,4,5
986,Milkshake,"Ice Cream 50g, Milk 150mL",Cocoa Powder,Bulking,187mL,384mL,182,4,25,9
987,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Mint",Bulking,105mL,260mL,86,0,15,3
988,Lemon Water,"Lemon Juice 20mL, Water 180mL","Chia Seeds, Cinnamon",Diet,199mL,332mL,64,15,39,6
989,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Ginger,Bulking,186mL,289mL,164,10,4,8
990,Protein Shake,"Whey Protein 30g, Milk 200mL","Cinnamon, Chia Seeds",Bulking,120mL,323mL,292,0,35,9
991,Milkshake,"Ice Cream 50g, Milk 150mL","Ginger, Mint",Bulking,190mL,247mL,239,16,3,1
992,Green Tea,"Green Tea Leaves 5g, Water 200mL","Ginger, Mint",Diet,100mL,381mL,147,12,18,8
993,Turmeric,Water 200mL,"Rose Petals, Sea Salt",Diet,190mL,249mL,264,13,14,6
994,Green Tea,"Green Tea Leaves 5g, Water 200mL",Ginger,Diet,142mL,347mL,285,9,28,4
995,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Mint, Cocoa Powder",Diet,103mL,205mL,104,9,32,8
996,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Mint, Cocoa Powder",Diet,161mL,220mL,59,4,7,6
997,Kombucha,Water 200mL,"Peppermint, Maca Powder",Bulking,154mL,201mL,111,13,27,0
998,Protein Shake,"Whey Protein 30g, Milk 200mL","Honey, Cinnamon",Bulking,118mL,244mL,204,0,38,7
999,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cocoa Powder, Honey",Diet,128mL,393mL,150,5,24,3
1000,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cinnamon, Vanilla Extract",Bulking,198mL,248mL,184,4,28,8
1001,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,165mL,292mL,169,15,22,6
1002,Turmeric,Water 200mL,Lavender,Bulking,158mL,307mL,137,11,36,3
1003,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Honey, Cinnamon",Bulking,197mL,333mL,94,19,14,1
1004,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Ginger",Diet,144mL,343mL,119,0,29,3
1005,Green Tea,"Green Tea Leaves 5g, Water 200mL",Honey,Diet,187mL,379mL,265,10,38,5
1006,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Protein Powder,Diet,131mL,379mL,237,17,8,4
1007,Black Coffee,"Coffee Beans 10g, Water 200mL","Mint, Cocoa Powder",Diet,118mL,368mL,246,14,3,0
1008,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Mint",Diet,152mL,260mL,180,19,38,2
1009,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Ginger,Bulking,131mL,257mL,284,5,10,7
1010,Green Tea,"Green Tea Leaves 5g, Water 200mL",Chia Seeds,Diet,184mL,318mL,236,4,4,9
1011,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Cinnamon",Diet,117mL,255mL,271,6,4,5
1012,Protein Shake,"Whey Protein 30g, Milk 200mL","Honey, Chia Seeds",Bulking,109mL,332mL,141,0,12,9
1013,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Mint,Bulking,106mL,222mL,86,15,32,6
1014,Black Coffee,"Coffee Beans 10g, Water 200mL","Cinnamon, Protein Powder",Diet,160mL,248mL,88,14,3,4
1015,Black Coffee,"Coffee Beans 10g, Water 200mL",Vanilla Extract,Diet,111mL,310mL,212,15,28,2
1016,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Ginger",Diet,105mL,281mL,144,15,18,1
1017,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Mint, Cinnamon",Diet,158mL,246mL,160,14,5,3
1018,Beetroot,Water 200mL,Rose Petals,Bulking,174mL,241mL,292,10,19,5
1019,Kombucha,Water 200mL,Maple Syrup,Bulking,106mL,388mL,89,14,7,6
1020,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Mint, Protein Powder",Bulking,113mL,397mL,118,8,2,0
1021,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Honey,Bulking,192mL,269mL,209,4,36,9
1022,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Honey,Bulking,184mL,241mL,245,12,38,0
1023,Milkshake,"Ice Cream 50g, Milk 150mL",Ginger,Bulking,139mL,380mL,198,14,1,5
1024,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Honey",Bulking,124mL,242mL,218,19,6,5
1025,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cinnamon, Ginger",Bulking,135mL,293mL,148,10,25,8
1026,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,146mL,298mL,158,15,35,5
1027,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Mint",Diet,183mL,252mL,86,16,33,4
1028,Protein Shake,"Whey Protein 30g, Milk 200mL",Mint,Bulking,163mL,205mL,266,1,5,4
1029,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Mint,Diet,173mL,211mL,192,9,21,2
1030,Black Coffee,"Coffee Beans 10g, Water 200mL",Cocoa Powder,Diet,156mL,335mL,189,14,8,6
1031,Aloe Vera,Water 200mL,"Rose Petals, Lavender",Diet,168mL,260mL,274,7,10,2
1032,Black Coffee,"Coffee Beans 10g, Water 200mL",Chia Seeds,Diet,128mL,266mL,294,8,32,2
1033,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Ginger, Protein Powder",Bulking,192mL,393mL,198,16,36,6
1034,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,185mL,310mL,135,16,27,0
1035,Lemon Water,"Lemon Juice 20mL, Water 180mL",Honey,Diet,110mL,316mL,239,1,26,6
1036,Kombucha,Water 200mL,Lemon Zest,Diet,118mL,244mL,191,14,19,1
1037,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Mint",Diet,189mL,239mL,253,8,9,9
1038,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Honey, Vanilla Extract",Diet,191mL,252mL,248,8,23,0
1039,Beetroot,Water 200mL,"Sea Salt, Lavender",Diet,153mL,226mL,219,6,21,6
1040,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Mint",Diet,183mL,212mL,53,19,1,8
1041,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,147mL,277mL,221,4,20,0
1042,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,166mL,321mL,126,0,10,4
1043,Pomegranate Juice,Water 200mL,"Lavender, Rose Petals",Diet,167mL,279mL,260,1,3,8
1044,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,115mL,230mL,193,17,35,7
1045,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,168mL,248mL,174,16,3,9
1046,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Honey",Bulking,123mL,214mL,197,16,22,6
1047,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Protein Powder",Bulking,174mL,231mL,278,18,25,0
1048,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Protein Powder, Cinnamon",Bulking,114mL,229mL,182,6,10,9
1049,Milkshake,"Ice Cream 50g, Milk 150mL","Mint, Chia Seeds",Bulking,111mL,214mL,289,0,15,0
1050,Black Coffee,"Coffee Beans 10g, Water 200mL","Honey, Chia Seeds",Diet,120mL,252mL,51,16,33,7
1051,Coconut Water,Water 200mL,"Basil, Lemon Zest",Bulking,139mL,280mL,181,11,1,9
1052,Milkshake,"Ice Cream 50g, Milk 150mL","Ginger, Mint",Bulking,145mL,303mL,255,8,38,6
1053,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Mint, Vanilla Extract",Bulking,108mL,382mL,150,3,12,5
1054,Beetroot,Water 200mL,"Maple Syrup, Sea Salt",Diet,110mL,280mL,106,6,6,8
1055,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,141mL,322mL,190,1,14,3
1056,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Chia Seeds,Diet,122mL,251mL,203,8,28,6
1057,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Ginger, Cinnamon",Bulking,195mL,343mL,87,2,26,1
1058,Kombucha,Water 200mL,Sea Salt,Diet,100mL,380mL,96,0,1,7
1059,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Mint, Cinnamon",Diet,120mL,218mL,290,18,3,2
1060,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Protein Powder,Diet,133mL,216mL,191,14,13,1
1061,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Mint, Honey",Bulking,189mL,356mL,134,2,22,3
1062,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,189mL,383mL,271,10,11,6
1063,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cocoa Powder,Diet,139mL,216mL,134,17,13,0
1064,Green Tea,"Green Tea Leaves 5g, Water 200mL",Mint,Diet,128mL,226mL,290,3,18,0
1065,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Ginger",Diet,111mL,331mL,294,0,39,8
1066,Kombucha,Water 200mL,Maple Syrup,Bulking,128mL,202mL,215,13,1,6
1067,Milkshake,"Ice Cream 50g, Milk 150mL",Protein Powder,Bulking,175mL,315mL,229,15,19,1
1068,Black Coffee,"Coffee Beans 10g, Water 200mL",Vanilla Extract,Diet,126mL,221mL,278,3,19,7
1069,Protein Shake,"Whey Protein 30g, Milk 200mL",Chia Seeds,Bulking,116mL,206mL,59,4,18,7
1070,Lemon Water,"Lemon Juice 20mL, Water 180mL","Mint, Ginger",Diet,169mL,265mL,73,5,17,7
1071,Lemon Water,"Lemon Juice 20mL, Water 180mL",Vanilla Extract,Diet,125mL,228mL,140,8,12,3
1072,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cinnamon, Cocoa Powder",Bulking,103mL,204mL,240,17,11,7
1073,Elderberry,Water 200mL,"Lavender, Sea Salt",Diet,129mL,288mL,260,6,37,0
1074,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Protein Powder",Diet,123mL,321mL,167,16,15,9
1075,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Protein Powder,Diet,154mL,345mL,278,15,4,9
1076,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Ginger",Diet,110mL,213mL,151,3,3,3
1077,Protein Shake,"Whey Protein 30g, Milk 200mL",Mint,Bulking,147mL,389mL,54,8,15,0
1078,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,122mL,387mL,135,2,9,5
1079,Green Tea,"Green Tea Leaves 5g, Water 200mL","Ginger, Protein Powder",Diet,192mL,330mL,160,3,9,0
1080,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,168mL,327mL,264,10,21,7
1081,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Ginger, Cocoa Powder",Diet,146mL,274mL,135,15,21,9
1082,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Chia Seeds,Diet,137mL,395mL,117,5,14,6
1083,Black Coffee,"Coffee Beans 10g, Water 200mL","Cocoa Powder, Mint",Diet,154mL,283mL,235,9,3,0
1084,Matcha,Water 200mL,Lavender,Diet,114mL,253mL,194,19,33,1
1085,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Protein Powder, Vanilla Extract",Bulking,158mL,271mL,166,10,25,3
1086,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Protein Powder,Bulking,133mL,337mL,263,2,32,0
1087,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Cinnamon",Diet,130mL,354mL,276,2,4,3
1088,Aloe Vera,Water 200mL,Sea Salt,Bulking,197mL,272mL,101,16,13,8
1089,Elderberry,Water 200mL,Sea Salt,Diet,146mL,240mL,163,9,13,6
1090,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Mint, Ginger",Bulking,130mL,236mL,259,6,19,6
1091,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Honey",Diet,148mL,322mL,84,0,35,1
1092,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Vanilla Extract",Bulking,122mL,358mL,189,17,34,2
1093,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Honey, Cinnamon",Bulking,180mL,387mL,222,6,34,6
1094,Protein Shake,"Whey Protein 30g, Milk 200mL","Cinnamon, Chia Seeds",Bulking,101mL,295mL,67,18,26,3
1095,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Mint,Diet,119mL,229mL,275,19,32,9
1096,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,173mL,326mL,226,8,33,9
1097,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,146mL,334mL,126,9,24,0
1098,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cinnamon,Bulking,193mL,258mL,155,0,12,2
1099,Protein Shake,"Whey Protein 30g, Milk 200mL","Cinnamon, Mint",Bulking,133mL,207mL,135,2,39,5
1100,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Vanilla Extract",Bulking,187mL,332mL,218,6,2,1
1101,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,141mL,368mL,212,13,16,9
1102,Matcha,Water 200mL,Sea Salt,Diet,146mL,376mL,293,2,19,9
1103,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Honey, Ginger",Bulking,146mL,254mL,163,11,4,0
1104,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Chia Seeds,Bulking,181mL,245mL,236,11,21,2
1105,Lemon Water,"Lemon Juice 20mL, Water 180mL",Mint,Diet,130mL,254mL,52,1,27,6
1106,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Chia Seeds",Diet,143mL,393mL,55,12,16,7
1107,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cocoa Powder,Bulking,125mL,312mL,103,11,36,2
1108,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Cinnamon,Bulking,124mL,261mL,141,0,32,8
1109,Protein Shake,"Whey Protein 30g, Milk 200mL","Honey, Cinnamon",Bulking,170mL,222mL,168,10,34,0
1110,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Mint, Protein Powder",Diet,160mL,303mL,200,18,35,9
1111,Matcha,Water 200mL,Lavender,Bulking,172mL,329mL,59,17,1,1
1112,Aloe Vera,Water 200mL,"Rose Petals, Lavender",Bulking,106mL,225mL,59,12,30,8
1113,Lemon Water,"Lemon Juice 20mL, Water 180mL",Ginger,Diet,179mL,387mL,273,5,25,6
1114,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cinnamon, Honey",Diet,135mL,250mL,192,11,28,3
1115,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Chia Seeds",Diet,118mL,389mL,67,19,20,5
1116,Matcha,Water 200mL,"Maca Powder, Lemon Zest",Diet,143mL,241mL,104,14,37,4
1117,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Chia Seeds,Diet,171mL,359mL,140,19,12,3
1118,Coconut Water,Water 200mL,Rose Petals,Diet,123mL,255mL,179,18,29,0
1119,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Protein Powder",Bulking,132mL,286mL,105,0,36,6
1120,Green Tea,"Green Tea Leaves 5g, Water 200mL","Mint, Cocoa Powder",Diet,199mL,327mL,261,9,22,4
1121,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Chia Seeds, Vanilla Extract",Diet,117mL,204mL,212,14,18,1
1122,Matcha,Water 200mL,"Basil, Lemon Zest",Bulking,160mL,358mL,56,0,38,9
1123,Milkshake,"Ice Cream 50g, Milk 150mL","Honey, Ginger",Bulking,142mL,286mL,142,17,24,8
1124,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Vanilla Extract, Chia Seeds",Bulking,103mL,316mL,101,4,38,4
1125,Black Coffee,"Coffee Beans 10g, Water 200mL","Ginger, Cinnamon",Diet,143mL,342mL,125,16,16,7
1126,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Honey, Protein Powder",Bulking,117mL,362mL,268,7,26,5
1127,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Chia Seeds,Bulking,106mL,331mL,96,9,35,6
1128,Black Coffee,"Coffee Beans 10g, Water 200mL","Vanilla Extract, Chia Seeds",Diet,115mL,302mL,78,7,26,9
1129,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Honey",Diet,151mL,322mL,151,13,29,1
1130,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Chia Seeds,Diet,156mL,349mL,84,7,13,8
1131,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Vanilla Extract",Diet,148mL,332mL,284,7,2,6
1132,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Protein Powder,Diet,123mL,332mL,171,1,34,7
1133,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,193mL,390mL,94,16,39,9
1134,Elderberry,Water 200mL,Sea Salt,Diet,134mL,314mL,252,6,8,4
1135,Green Tea,"Green Tea Leaves 5g, Water 200mL","Honey, Vanilla Extract",Diet,127mL,392mL,254,18,7,5
1136,Black Coffee,"Coffee Beans 10g, Water 200mL","Cocoa Powder, Ginger",Diet,121mL,279mL,273,7,28,3
