Number,Food Name,Ingredients,Spices,Food Type,Category,Amount for Diet (g/mL),Amount for Bulking (g/mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
1713,Szechuan Noodles,"Turkey Slices 52g, Spices Paprika, Rosemary, Ginger",Hot Sauce,Spicy,Diet,53g/147mL,107g/269mL,587,24,21,7
1714,Vanilla Custard,"Chicken Breast 84g, Spices Cardamom, Cayenne Pepper","Cinnamon, Black Pepper, Hot Sauce",Sweet,Diet,90g/136mL,154g/295mL,597,39,63,20
1715,Hot Chicken Wings,"Almond 85g, Spices Cinnamon",Cardamom,Spicy,Diet,54g/124mL,148g/279mL,650,44,42,12
1716,Hot Chicken Wings,"Butter 132g, Spices Cinnamon","Ginger, Thyme",Spicy,Diet,91g/121mL,174g/252mL,367,8,52,24
1717,Pumpkin Spice Latte,"Banana 55g, Spices Oregano, Ginger","Cayenne Pepper, Cardamom, Rosemary, Turmeric",Sweet,Diet,54g/104mL,120g/289mL,260,31,81,27
1718,Chicken Soup,"Honey 84g, Spices Rosemary, Hot Sauce, Black Pepper","Turmeric, Oregano, Thyme",Savory,Diet,86g/131mL,179g/264mL,337,15,86,10
1719,Roast Chicken,"Wheat Flour 143g, Spices Oregano","Hot Sauce, Rosemary",Meat,Diet,99g/112mL,110g/209mL,646,35,82,29
1720,Szechuan Noodles,"Salmon 95g, Spices Paprika, Cardamom, Black Mustard Seed","Cardamom, Rosemary, Cumin",Spicy,Diet,95g/144mL,142g/259mL,484,35,59,14
1721,Garlic Bread,"Oat 143g, Spices Hot Sauce, Cayenne Pepper, Turmeric","Oregano, Black Mustard Seed, Thyme",Savory,Diet,98g/100mL,131g/208mL,611,28,94,9
1722,Roasted Carrots,"Butter 140g, Spices Cardamom, Hot Sauce","Ginger, Cardamom, Oregano, Rosemary",Vegetable,Diet,98g/120mL,161g/246mL,255,39,73,23
1723,Spicy Tacos,"Honey 133g, Spices Oregano",Black Mustard Seed,Spicy,Diet,64g/122mL,116g/260mL,438,16,61,5
1724,Vegetable Curry,"Kale 81g, Spices Thyme, Hot Sauce","Chili Powder, Rosemary, Hot Sauce",Vegetable,Diet,58g/142mL,163g/284mL,222,32,41,6
1725,Maple Pecan Pie,"Garlic 71g, Spices Hot Sauce, Black Pepper",Rosemary,Sweet,Diet,78g/141mL,190g/256mL,263,38,95,7
1726,Berry Smoothie,"Tuna 81g, Spices Black Mustard Seed","Paprika, Cardamom, Black Pepper",Fruit,Diet,79g/127mL,132g/298mL,465,20,98,15
1727,Roast Chicken,"Salmon 97g, Spices Rosemary, Thyme, Cardamom","Chili Powder, Cayenne Pepper, Black Mustard Seed",Meat,Diet,50g/131mL,169g/207mL,772,28,71,16
1728,Apple Pie,"Chicken Breast 80g, Spices Black Mustard Seed","Cardamom, Paprika, Thyme",Fruit,Diet,86g/135mL,142g/206mL,541,18,92,6
1729,Fruit Salad,"Apple 64g, Spices Cayenne Pepper, Cinnamon",Black Pepper,Fruit,Diet,57g/145mL,156g/265mL,367,35,23,5
1730,Fruit Salad,"Wheat Flour 138g, Spices Oregano","Cardamom, Cinnamon",Fruit,Diet,69g/127mL,117g/245mL,408,49,82,6
1731,Pork Ribs,"Garlic 136g, Spices Cinnamon, Cardamom","Cardamom, Garlic Powder",Meat,Diet,67g/144mL,161g/216mL,220,31,58,17
1732,Apple Pie,"Beef Steak 97g, Spices Hot Sauce, Cayenne Pepper","Cardamom, Black Mustard Seed, Cumin",Fruit,Diet,72g/102mL,117g/231mL,700,41,84,9
1733,Grilled Vegetables,"Tomato 122g, Spices Garlic Powder","Garlic Powder, Chili Powder",Vegetable,Diet,65g/149mL,137g/247mL,550,13,97,29
1734,Blueberry Muffin,"Orange 72g, Spices Cardamom, Rosemary, Ginger","Thyme, Garlic Powder, Cumin, Cayenne Pepper",Sweet,Diet,86g/139mL,122g/280mL,536,42,77,14
1735,Roast Chicken,"Almond 64g, Spices Rosemary, Ginger, Ginger",Black Pepper,Meat,Diet,91g/148mL,177g/284mL,360,49,55,29
1736,Beef Stew,"Egg 119g, Spices Thyme, Cinnamon","Chili Powder, Garlic Powder, Turmeric",Savory,Diet,89g/134mL,137g/230mL,206,10,46,24
1737,Garlic Bread,"Tomato 111g, Spices Rosemary, Hot Sauce","Black Mustard Seed, Garlic Powder, Black Pepper",Savory,Diet,72g/140mL,101g/243mL,436,28,81,15
1738,Stir Fried Greens,"Egg 103g, Spices Thyme","Turmeric, Rosemary, Cumin, Oregano",Vegetable,Diet,59g/107mL,155g/289mL,385,37,94,28
1739,Fruit Kebabs,"Turkey Slices 63g, Spices Black Mustard Seed","Chili Powder, Paprika, Black Pepper, Cinnamon",Fruit,Diet,56g/135mL,106g/243mL,388,46,52,21
1740,Pork Ribs,"Butter 98g, Spices Ginger, Cayenne Pepper","Cayenne Pepper, Cardamom",Meat,Diet,52g/145mL,101g/243mL,775,15,38,8
1741,Roast Chicken,"Garlic 145g, Spices Cayenne Pepper","Garlic Powder, Cardamom, Turmeric, Thyme",Meat,Diet,68g/139mL,168g/204mL,311,13,77,24
1742,Maple Pecan Pie,"Milk 135g, Spices Paprika, Black Mustard Seed, Cumin","Hot Sauce, Chili Powder, Rosemary, Ginger",Sweet,Diet,93g/122mL,146g/294mL,244,6,46,9
1743,Roast Chicken,"Onion 125g, Spices Oregano, Black Pepper, Turmeric","Chili Powder, Cayenne Pepper, Turmeric, Ginger",Meat,Diet,97g/112mL,192g/217mL,275,32,87,6
1744,Blueberry Muffin,"Tomato 91g, Spices Cumin",Black Pepper,Sweet,Diet,90g/140mL,161g/289mL,441,22,76,14
1745,Chili Con Carne,"Kale 137g, Spices Black Mustard Seed","Hot Sauce, Black Mustard Seed, Cinnamon",Spicy,Diet,86g/126mL,186g/244mL,287,35,66,5
1746,Pork Ribs,"Tuna 88g, Spices Oregano, Cumin","Cardamom, Paprika, Garlic Powder, Hot Sauce",Meat,Diet,94g/135mL,150g/227mL,666,34,36,20
1747,Stir Fried Greens,"Oat 120g, Spices Ginger, Black Mustard Seed, Paprika","Cinnamon, Garlic Powder, Cayenne Pepper",Vegetable,Diet,81g/124mL,162g/275mL,479,12,21,21
1748,Garlic Bread,"Honey 62g, Spices Cinnamon, Hot Sauce, Cayenne Pepper",Hot Sauce,Savory,Diet,71g/128mL,175g/217mL,350,47,23,22
1749,Chicken Soup,"Salmon 54g, Spices Ginger","Cinnamon, Hot Sauce, Oregano, Cayenne Pepper",Savory,Diet,75g/133mL,108g/286mL,755,14,89,26
1750,Spicy Tacos,"Orange 82g, Spices Cardamom, Black Pepper, Hot Sauce","Garlic Powder, Turmeric, Cardamom",Spicy,Diet,90g/110mL,112g/257mL,712,19,91,13
1751,Mango Sorbet,"Tomato 97g, Spices Ginger, Cayenne Pepper, Black Mustard Seed","Black Pepper, Garlic Powder, Rosemary",Fruit,Diet,67g/112mL,121g/214mL,389,16,94,19
1752,Roasted Carrots,"Chicken Breast 74g, Spices Paprika, Paprika","Chili Powder, Cinnamon, Cayenne Pepper, Oregano",Vegetable,Diet,73g/112mL,189g/228mL,289,23,45,16
1753,Grilled Salmon,"Turkey Slices 60g, Spices Thyme, Cinnamon, Rosemary","Thyme, Garlic Powder, Cumin",Meat,Diet,67g/149mL,106g/242mL,665,26,70,29
1754,Vanilla Custard,"Chicken Breast 147g, Spices Rosemary, Garlic Powder, Cayenne Pepper",Cardamom,Sweet,Diet,74g/103mL,120g/297mL,653,20,99,10
1755,Pork Ribs,"Chicken Breast 136g, Spices Thyme, Cinnamon, Cumin","Hot Sauce, Cumin, Garlic Powder",Meat,Diet,50g/137mL,153g/265mL,482,46,85,13
1756,Pumpkin Spice Latte,"Egg 90g, Spices Cumin","Thyme, Rosemary, Chili Powder",Sweet,Diet,91g/139mL,139g/291mL,269,19,85,20
1757,Berry Smoothie,"Cheese 100g, Spices Cardamom","Turmeric, Cinnamon, Thyme, Black Mustard Seed",Fruit,Diet,62g/114mL,177g/210mL,330,48,90,20
1758,Garlic Bread,"Yogurt 106g, Spices Black Pepper",Paprika,Savory,Diet,67g/119mL,111g/230mL,315,29,40,29
1759,Lamb Chops,"Butter 76g, Spices Ginger, Black Pepper","Black Pepper, Black Mustard Seed",Meat,Diet,59g/121mL,179g/275mL,272,10,91,17
1760,Stir Fried Greens,"Broccoli 140g, Spices Thyme, Turmeric",Ginger,Vegetable,Diet,85g/145mL,183g/201mL,600,15,37,9
1761,Vegetable Curry,"Beef Steak 107g, Spices Paprika, Cinnamon, Cinnamon",Cayenne Pepper,Vegetable,Diet,67g/147mL,153g/248mL,380,32,47,22
1762,Spicy Tacos,"Honey 104g, Spices Paprika, Turmeric","Thyme, Turmeric",Spicy,Diet,80g/112mL,185g/237mL,698,37,82,29
1763,Vanilla Custard,"Butter 117g, Spices Hot Sauce, Ginger","Rosemary, Oregano, Black Pepper",Sweet,Diet,71g/129mL,196g/268mL,663,22,47,20
1764,Fruit Kebabs,"Beef Steak 65g, Spices Turmeric, Rosemary, Paprika","Turmeric, Garlic Powder, Chili Powder, Thyme",Fruit,Diet,90g/104mL,196g/264mL,238,22,99,10
1765,Grilled Salmon,"Oat 60g, Spices Cardamom, Cardamom, Ginger","Black Pepper, Cardamom",Meat,Diet,57g/129mL,183g/291mL,345,33,68,8
1766,Roast Chicken,"Yogurt 77g, Spices Hot Sauce, Rosemary","Thyme, Cumin",Meat,Diet,64g/138mL,182g/265mL,782,43,55,11
1767,Jalapeno Poppers,"Banana 94g, Spices Cardamom, Garlic Powder, Cinnamon","Cumin, Chili Powder",Spicy,Diet,52g/118mL,189g/269mL,797,21,26,15
1768,Grilled Salmon,"Chicken Breast 99g, Spices Paprika, Rosemary","Rosemary, Ginger, Cayenne Pepper, Paprika",Meat,Diet,80g/104mL,176g/276mL,247,38,96,9
1769,Stir Fried Greens,"Beef Steak 121g, Spices Paprika, Cayenne Pepper",Garlic Powder,Vegetable,Diet,67g/113mL,170g/232mL,380,41,74,12
1770,Lamb Chops,"Tuna 131g, Spices Hot Sauce, Black Pepper",Paprika,Meat,Diet,81g/131mL,111g/229mL,373,29,73,5
1771,Roast Chicken,"Soy 149g, Spices Garlic Powder, Cumin, Black Pepper","Turmeric, Paprika",Meat,Diet,97g/110mL,117g/263mL,484,42,24,7
1772,Chicken Soup,"Cheese 72g, Spices Cumin, Oregano, Paprika","Paprika, Hot Sauce, Cardamom",Savory,Diet,66g/107mL,191g/296mL,397,12,37,20
1773,Szechuan Noodles,"Kale 66g, Spices Paprika, Rosemary","Cumin, Black Mustard Seed, Garlic Powder, Cayenne Pepper",Spicy,Diet,81g/146mL,152g/205mL,623,49,43,19
1774,Fruit Kebabs,"Honey 148g, Spices Cinnamon",Thyme,Fruit,Diet,59g/124mL,144g/245mL,587,33,40,26
1775,Fruit Salad,"Milk 54g, Spices Cumin, Paprika, Rosemary","Cayenne Pepper, Hot Sauce, Cumin, Thyme",Fruit,Diet,67g/115mL,194g/220mL,610,31,54,13
1776,Stir Fried Greens,"Banana 119g, Spices Turmeric, Black Mustard Seed, Cumin","Garlic Powder, Turmeric, Black Pepper",Vegetable,Diet,65g/105mL,100g/254mL,217,22,34,8
1777,Jalapeno Poppers,"Honey 140g, Spices Paprika","Cumin, Cinnamon, Garlic Powder, Chili Powder",Spicy,Diet,69g/138mL,147g/283mL,436,31,21,25
1778,Szechuan Noodles,"Kale 73g, Spices Black Pepper, Black Mustard Seed","Thyme, Garlic Powder, Turmeric, Oregano",Spicy,Diet,62g/114mL,180g/264mL,448,8,25,16
1779,Chili Con Carne,"Wheat Flour 63g, Spices Cumin, Black Mustard Seed",Cumin,Spicy,Diet,67g/118mL,117g/276mL,569,15,52,10
1780,Chicken Soup,"Salmon 56g, Spices Ginger, Paprika, Cinnamon","Black Pepper, Cumin",Savory,Diet,85g/112mL,170g/220mL,740,21,40,27
1781,Spicy Tacos,"Carrot 136g, Spices Cinnamon",Thyme,Spicy,Diet,71g/147mL,104g/295mL,774,15,63,5
1782,Fried Rice,"Butter 50g, Spices Black Mustard Seed, Hot Sauce","Hot Sauce, Black Mustard Seed, Chili Powder",Savory,Diet,52g/101mL,101g/252mL,296,13,43,22
1783,Beef Stew,"Honey 148g, Spices Cayenne Pepper, Hot Sauce","Hot Sauce, Cardamom, Cumin, Black Pepper",Savory,Diet,88g/107mL,113g/279mL,693,42,27,7
1784,Pumpkin Spice Latte,"Orange 97g, Spices Hot Sauce","Cinnamon, Paprika, Hot Sauce, Ginger",Sweet,Diet,78g/124mL,175g/245mL,770,22,20,13
1785,Mango Sorbet,"Apple 133g, Spices Thyme","Turmeric, Paprika",Fruit,Diet,58g/127mL,128g/275mL,534,36,46,19
1786,Vegetable Curry,"Broccoli 68g, Spices Cayenne Pepper","Black Mustard Seed, Oregano, Rosemary",Vegetable,Diet,61g/100mL,121g/289mL,528,49,22,10
1787,Fruit Kebabs,"Butter 75g, Spices Cumin","Cayenne Pepper, Hot Sauce, Turmeric",Fruit,Diet,59g/139mL,150g/203mL,548,19,25,19
1788,Mango Sorbet,"Chicken Breast 95g, Spices Cinnamon",Black Pepper,Fruit,Diet,58g/144mL,123g/278mL,448,48,43,14
1789,Beef Stew,"Egg 76g, Spices Thyme","Rosemary, Chili Powder, Black Pepper, Paprika",Savory,Diet,50g/126mL,170g/216mL,433,42,29,16
1790,Maple Pecan Pie,"Butter 140g, Spices Paprika, Black Pepper, Cayenne Pepper","Black Pepper, Turmeric, Cumin, Cayenne Pepper",Sweet,Diet,70g/106mL,138g/291mL,494,47,88,14
1791,Apple Pie,"Beef Steak 96g, Spices Cayenne Pepper","Garlic Powder, Black Mustard Seed",Fruit,Diet,91g/100mL,121g/215mL,724,14,97,23
1792,Berry Smoothie,"Butter 96g, Spices Oregano, Paprika, Hot Sauce","Thyme, Rosemary",Fruit,Diet,51g/116mL,115g/283mL,549,39,73,22
1793,Maple Pecan Pie,"Butter 104g, Spices Cinnamon, Oregano","Black Mustard Seed, Chili Powder, Cardamom, Paprika",Sweet,Diet,98g/145mL,168g/253mL,558,10,28,21
1794,Fruit Kebabs,"Butter 54g, Spices Cumin, Oregano, Hot Sauce","Hot Sauce, Black Mustard Seed, Cardamom",Fruit,Diet,61g/116mL,161g/209mL,244,14,85,21
1795,Garlic Bread,"Salmon 103g, Spices Thyme, Black Mustard Seed",Oregano,Savory,Diet,91g/124mL,158g/293mL,649,28,73,8
1796,Fried Rice,"Butter 86g, Spices Rosemary, Cayenne Pepper, Paprika","Black Pepper, Thyme",Savory,Diet,97g/130mL,154g/228mL,675,20,29,5
1797,Berry Smoothie,"Salmon 72g, Spices Hot Sauce, Thyme, Turmeric","Oregano, Paprika, Thyme, Turmeric",Fruit,Diet,94g/108mL,196g/212mL,389,6,92,17
1798,Pumpkin Spice Latte,"Oat 80g, Spices Black Pepper, Black Pepper","Cumin, Cinnamon, Cardamom, Hot Sauce",Sweet,Diet,86g/145mL,145g/253mL,655,39,35,8
1799,Vegetable Curry,"Cheese 96g, Spices Thyme, Rosemary, Garlic Powder","Garlic Powder, Cinnamon, Cumin",Vegetable,Diet,59g/139mL,156g/281mL,730,42,64,16
1800,Pumpkin Spice Latte,"Yogurt 103g, Spices Black Pepper, Rosemary, Oregano","Cardamom, Black Pepper, Chili Powder, Cayenne Pepper",Sweet,Diet,63g/124mL,102g/231mL,553,31,37,22
1801,Pork Ribs,"Garlic 140g, Spices Turmeric, Rosemary","Cayenne Pepper, Garlic Powder, Cumin, Turmeric",Meat,Diet,53g/142mL,157g/252mL,700,5,27,13
1802,Szechuan Noodles,"Onion 65g, Spices Cardamom, Cardamom, Paprika","Black Pepper, Hot Sauce",Spicy,Diet,66g/115mL,148g/281mL,280,5,60,27
1803,Beef Stew,"Wheat Flour 131g, Spices Black Mustard Seed, Hot Sauce, Hot Sauce",Oregano,Savory,Diet,64g/109mL,131g/212mL,377,5,43,22
1804,Pumpkin Spice Latte,"Carrot 55g, Spices Oregano, Garlic Powder, Garlic Powder","Chili Powder, Paprika, Cumin, Cinnamon",Sweet,Diet,75g/105mL,147g/230mL,588,42,33,8
1805,Garlic Bread,"Beef Steak 134g, Spices Black Mustard Seed","Garlic Powder, Chili Powder, Cardamom",Savory,Diet,86g/101mL,163g/268mL,751,21,95,24
1806,Jalapeno Poppers,"Apple 149g, Spices Black Mustard Seed, Garlic Powder, Black Mustard Seed","Turmeric, Chili Powder",Spicy,Diet,55g/136mL,193g/248mL,296,13,81,26
1807,Berry Smoothie,"Cheese 130g, Spices Cardamom, Thyme","Cinnamon, Paprika, Chili Powder",Fruit,Diet,94g/144mL,199g/239mL,694,30,98,27
1808,Hot Chicken Wings,"Oat 148g, Spices Hot Sauce","Cayenne Pepper, Cinnamon, Rosemary",Spicy,Diet,63g/107mL,162g/264mL,358,39,88,6
1809,Chicken Soup,"Tomato 55g, Spices Rosemary","Hot Sauce, Black Pepper, Rosemary",Savory,Diet,80g/118mL,156g/216mL,314,39,44,22
1810,Grilled Salmon,"Banana 98g, Spices Rosemary",Cayenne Pepper,Meat,Diet,98g/149mL,175g/290mL,466,37,41,29
1811,Garlic Bread,"Almond 122g, Spices Cumin, Turmeric, Paprika","Cumin, Hot Sauce, Ginger, Cinnamon",Savory,Diet,77g/145mL,189g/265mL,583,26,42,15
1812,Mushroom Risotto,"Banana 59g, Spices Cayenne Pepper","Cayenne Pepper, Black Mustard Seed, Garlic Powder",Savory,Diet,54g/105mL,163g/237mL,645,11,27,10
1813,Pork Ribs,"Tomato 108g, Spices Garlic Powder, Oregano, Ginger","Rosemary, Garlic Powder",Meat,Diet,70g/105mL,120g/293mL,704,26,66,24
1814,Stir Fried Greens,"Honey 135g, Spices Ginger, Paprika","Garlic Powder, Chili Powder",Vegetable,Diet,53g/138mL,118g/246mL,472,26,34,22
1815,Duck Confit,"Milk 78g, Spices Rosemary","Paprika, Black Pepper, Turmeric",Meat,Diet,73g/142mL,199g/298mL,699,31,76,24
1816,Chicken Soup,"Beef Steak 111g, Spices Cayenne Pepper, Black Pepper, Ginger","Turmeric, Cinnamon, Cardamom",Savory,Diet,68g/112mL,115g/238mL,297,10,87,12
1817,Pumpkin Spice Latte,"Soy 123g, Spices Turmeric, Hot Sauce, Ginger","Rosemary, Cardamom",Sweet,Diet,74g/127mL,117g/279mL,793,37,89,25
1818,Roast Chicken,"Yogurt 141g, Spices Black Pepper","Cayenne Pepper, Oregano",Meat,Diet,83g/111mL,121g/268mL,525,38,29,10
1819,Vegetable Curry,"Chicken Breast 128g, Spices Oregano",Cinnamon,Vegetable,Diet,64g/110mL,141g/257mL,620,14,45,23
1820,Maple Pecan Pie,"Cheese 129g, Spices Black Pepper","Rosemary, Ginger",Sweet,Diet,68g/122mL,163g/209mL,342,37,68,20
1821,Vegetable Curry,"Broccoli 99g, Spices Black Mustard Seed, Paprika, Hot Sauce","Paprika, Oregano, Hot Sauce",Vegetable,Diet,62g/105mL,151g/201mL,781,23,25,16
1822,Roast Chicken,"Almond 103g, Spices Chili Powder, Cayenne Pepper, Turmeric","Garlic Powder, Turmeric",Meat,Diet,89g/127mL,118g/295mL,544,17,23,14
1823,Fruit Kebabs,"Carrot 53g, Spices Turmeric",Thyme,Fruit,Diet,78g/140mL,199g/245mL,458,43,36,18
1824,Duck Confit,"Soy 85g, Spices Ginger, Black Mustard Seed, Rosemary",Black Pepper,Meat,Diet,87g/127mL,138g/266mL,582,19,33,29
1825,Pork Ribs,"Soy 65g, Spices Turmeric","Black Pepper, Cumin, Cayenne Pepper, Cardamom",Meat,Diet,66g/105mL,166g/210mL,756,5,72,17
1826,Chocolate Cake,"Broccoli 102g, Spices Black Mustard Seed, Paprika, Hot Sauce","Ginger, Black Pepper, Oregano",Sweet,Diet,63g/144mL,189g/216mL,683,33,65,19
1827,Roasted Carrots,"Almond 63g, Spices Black Pepper, Chili Powder, Cayenne Pepper",Black Mustard Seed,Vegetable,Diet,50g/129mL,100g/204mL,594,49,48,13
1828,Beef Stew,"Oat 135g, Spices Chili Powder","Cinnamon, Hot Sauce, Ginger",Savory,Diet,57g/128mL,160g/298mL,344,44,98,26
1829,Fruit Salad,"Garlic 80g, Spices Rosemary, Cumin","Paprika, Turmeric",Fruit,Diet,75g/119mL,107g/222mL,281,12,92,10
1830,Mushroom Risotto,"Honey 130g, Spices Black Pepper, Paprika, Turmeric",Garlic Powder,Savory,Diet,59g/145mL,166g/272mL,589,6,95,9
1831,Chicken Soup,"Carrot 69g, Spices Hot Sauce",Black Pepper,Savory,Diet,87g/130mL,146g/230mL,252,41,26,24
1832,Pumpkin Spice Latte,"Salmon 119g, Spices Cinnamon, Garlic Powder",Thyme,Sweet,Diet,56g/126mL,111g/219mL,386,49,43,16
1833,Garlic Bread,"Almond 89g, Spices Cardamom, Thyme","Paprika, Black Pepper, Ginger, Rosemary",Savory,Diet,91g/133mL,139g/227mL,676,20,94,8
1834,Fruit Salad,"Milk 73g, Spices Rosemary, Hot Sauce",Thyme,Fruit,Diet,69g/100mL,181g/227mL,703,9,98,6
1835,Jalapeno Poppers,"Garlic 129g, Spices Garlic Powder, Cumin, Thyme","Chili Powder, Cumin, Cardamom",Spicy,Diet,80g/143mL,128g/273mL,228,46,81,15
1836,Apple Pie,"Honey 136g, Spices Turmeric, Turmeric","Black Pepper, Cayenne Pepper, Garlic Powder, Cardamom",Fruit,Diet,80g/104mL,124g/254mL,317,48,75,7
1837,Jalapeno Poppers,"Butter 149g, Spices Cumin",Cumin,Spicy,Diet,68g/127mL,186g/223mL,641,39,61,16
1838,Chocolate Cake,"Beef Steak 74g, Spices Chili Powder, Cumin","Paprika, Cinnamon, Ginger, Cayenne Pepper",Sweet,Diet,57g/136mL,129g/287mL,609,45,85,8
1839,Salad Bowl,"Salmon 58g, Spices Oregano, Turmeric","Cumin, Black Pepper, Rosemary, Thyme",Vegetable,Diet,87g/109mL,128g/273mL,246,24,67,6
1840,Apple Pie,"Turkey Slices 96g, Spices Black Pepper, Garlic Powder, Hot Sauce","Turmeric, Ginger, Cayenne Pepper",Fruit,Diet,55g/120mL,177g/277mL,463,23,72,25
1841,Chicken Soup,"Wheat Flour 108g, Spices Garlic Powder, Chili Powder, Cayenne Pepper","Cinnamon, Black Mustard Seed, Rosemary",Savory,Diet,69g/136mL,127g/290mL,319,29,96,20
1842,Chili Con Carne,"Salmon 105g, Spices Garlic Powder, Cinnamon",Hot Sauce,Spicy,Diet,53g/146mL,166g/288mL,322,6,38,8
1843,Beef Stew,"Carrot 92g, Spices Cayenne Pepper","Cardamom, Rosemary, Turmeric, Black Mustard Seed",Savory,Diet,57g/146mL,176g/282mL,680,45,90,7
1844,Pumpkin Spice Latte,"Wheat Flour 115g, Spices Black Mustard Seed","Oregano, Garlic Powder, Turmeric, Paprika",Sweet,Diet,53g/122mL,199g/207mL,384,10,28,25
1845,Garlic Bread,"Garlic 112g, Spices Thyme","Turmeric, Black Pepper, Thyme",Savory,Diet,54g/112mL,130g/266mL,773,34,86,6
1846,Salad Bowl,"Honey 88g, Spices Black Pepper, Thyme","Garlic Powder, Rosemary, Chili Powder, Oregano",Vegetable,Diet,75g/116mL,191g/222mL,312,21,32,28
1847,Grilled Vegetables,"Milk 136g, Spices Rosemary","Cayenne Pepper, Paprika, Thyme",Vegetable,Diet,67g/109mL,130g/252mL,750,19,73,27
1848,Roasted Carrots,"Beef Steak 58g, Spices Cardamom, Cayenne Pepper, Garlic Powder","Black Pepper, Rosemary, Hot Sauce, Thyme",Vegetable,Diet,71g/109mL,198g/262mL,501,13,78,9
1849,Apple Pie,"Broccoli 138g, Spices Garlic Powder",Cardamom,Fruit,Diet,71g/124mL,103g/229mL,313,39,24,15
1850,Szechuan Noodles,"Salmon 115g, Spices Cinnamon","Garlic Powder, Cardamom, Cinnamon, Black Mustard Seed",Spicy,Diet,80g/127mL,163g/258mL,747,12,43,20
1851,Blueberry Muffin,"Orange 103g, Spices Rosemary, Cardamom",Black Mustard Seed,Sweet,Diet,78g/106mL,183g/212mL,229,36,91,26
1852,Berry Smoothie,"Beef Steak 87g, Spices Hot Sauce, Cinnamon, Black Pepper","Paprika, Garlic Powder, Black Mustard Seed, Turmeric",Fruit,Diet,52g/122mL,176g/296mL,355,45,42,16
1853,Mushroom Risotto,"Cheese 100g, Spices Cinnamon",Cinnamon,Savory,Diet,78g/133mL,151g/275mL,400,24,77,28
1854,Salad Bowl,"Oat 141g, Spices Rosemary","Ginger, Thyme, Oregano, Garlic Powder",Vegetable,Diet,77g/134mL,137g/240mL,308,6,32,5
1855,Szechuan Noodles,"Milk 124g, Spices Turmeric, Cumin, Black Pepper",Cumin,Spicy,Diet,58g/146mL,198g/266mL,630,21,71,18
1856,Salad Bowl,"Banana 92g, Spices Black Pepper","Hot Sauce, Cinnamon, Cardamom, Chili Powder",Vegetable,Diet,75g/140mL,106g/296mL,589,19,35,6
1857,Blueberry Muffin,"Wheat Flour 63g, Spices Chili Powder, Cinnamon",Black Mustard Seed,Sweet,Diet,73g/102mL,156g/258mL,549,46,72,24
1858,Grilled Salmon,"Cheese 133g, Spices Garlic Powder, Cayenne Pepper","Rosemary, Black Pepper",Meat,Diet,97g/102mL,183g/205mL,727,45,47,5
1859,Roast Chicken,"Egg 76g, Spices Oregano, Turmeric, Cayenne Pepper","Black Mustard Seed, Chili Powder, Paprika",Meat,Diet,54g/148mL,136g/284mL,256,37,81,5
1860,Roasted Carrots,"Wheat Flour 60g, Spices Oregano, Oregano, Garlic Powder","Chili Powder, Paprika, Cayenne Pepper, Black Mustard Seed",Vegetable,Diet,80g/137mL,109g/219mL,473,43,95,18
1861,Beef Stew,"Garlic 61g, Spices Chili Powder, Black Mustard Seed, Ginger","Cardamom, Garlic Powder, Cayenne Pepper, Rosemary",Savory,Diet,65g/128mL,155g/262mL,509,9,44,20
1862,Vegetable Curry,"Cheese 118g, Spices Thyme","Garlic Powder, Ginger, Cinnamon",Vegetable,Diet,72g/115mL,178g/204mL,485,20,95,13
1863,Spicy Tacos,"Milk 149g, Spices Cinnamon, Black Pepper",Cumin,Spicy,Diet,57g/136mL,172g/238mL,625,9,78,27
1864,Fruit Salad,"Cheese 138g, Spices Oregano, Ginger, Cardamom",Cayenne Pepper,Fruit,Diet,68g/125mL,166g/236mL,309,16,45,14
1865,Vegetable Curry,"Beef Steak 126g, Spices Ginger, Black Mustard Seed, Hot Sauce",Paprika,Vegetable,Diet,90g/136mL,166g/240mL,657,9,90,18
1866,Grilled Salmon,"Yogurt 67g, Spices Paprika","Hot Sauce, Garlic Powder, Paprika, Thyme",Meat,Diet,90g/113mL,128g/205mL,359,34,77,17
1867,Blueberry Muffin,"Milk 94g, Spices Ginger, Garlic Powder","Hot Sauce, Turmeric, Rosemary",Sweet,Diet,72g/110mL,172g/283mL,211,6,87,16
1868,Lamb Chops,"Egg 68g, Spices Oregano, Black Mustard Seed","Cumin, Black Pepper, Paprika, Ginger",Meat,Diet,72g/110mL,147g/292mL,702,43,43,5
1869,Salad Bowl,"Tuna 118g, Spices Cinnamon",Paprika,Vegetable,Diet,85g/112mL,172g/292mL,292,10,93,22
1870,Lamb Chops,"Butter 146g, Spices Cardamom, Cayenne Pepper, Hot Sauce","Turmeric, Oregano",Meat,Diet,51g/106mL,111g/251mL,743,43,53,22
1871,Pumpkin Spice Latte,"Turkey Slices 63g, Spices Cayenne Pepper, Black Mustard Seed","Ginger, Cinnamon",Sweet,Diet,71g/134mL,193g/210mL,627,34,90,23
1872,Chicken Soup,"Milk 117g, Spices Black Mustard Seed, Paprika","Turmeric, Cinnamon",Savory,Diet,71g/135mL,143g/284mL,642,15,33,8
1873,Berry Smoothie,"Butter 90g, Spices Chili Powder, Thyme","Cardamom, Ginger, Thyme",Fruit,Diet,63g/144mL,181g/290mL,344,30,54,17
